Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,57081735,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",43772708,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",38131363,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,"Heat Waves","Glass Animals",30071945,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,MONEY,LISA,27961856,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
6,"Cold Heart - PNAU Remix","Elton John",27674586,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",27137069,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
8,Shivers,"Ed Sheeran",26334187,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"My Universe",Coldplay,25632159,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
10,Pepas,Farruko,25389829,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
11,"Bad Habits","Ed Sheeran",25037944,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
12,Woman,"Doja Cat",23187278,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
13,"love nwantiti (ah ah ah)",CKay,21602782,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,20904632,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
15,"THATS WHAT I WANT","Lil Nas X",19629995,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"good 4 u","Olivia Rodrigo",19615891,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
17,Beggin',Måneskin,19093598,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
18,"Need to Know","Doja Cat",18735754,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"Life Goes On","Oliver Tree",18033866,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
20,"MONTERO (Call Me By Your Name)","Lil Nas X",17707419,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
21,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,17479060,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
22,"Kiss Me More (feat. SZA)","Doja Cat",16903484,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
23,"Happier Than Ever","Billie Eilish",16337007,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
24,"Meet Me At Our Spot","THE ANXIETY",14407480,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
25,traitor,"Olivia Rodrigo",13885924,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
26,Yonaguni,"Bad Bunny",13772019,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
27,"Levitating (feat. DaBaby)","Dua Lipa",13423842,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"Blinding Lights","The Weeknd",13224267,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
